Technology	Center	Beta-Binomial Log-Likelihood	Binomial Log-Likelihood	Mean Coverage	Coverage STD	Num Loci	Num Alleles
hifi	Broad	-416851.8254878909	-609622.9122357395	95.94103876267764	19.40196249594346	48904	140109
hifi	UW	-350344.1649579568	-466858.9333326238	63.887654964207464	14.785700012706927	48906	140113
hifi	BCM	-422379.7551369679	-618820.8258687602	100.76723504178949	21.25395620648635	48904	140107
hifi	WashU	-413247.88365762454	-595173.0907908988	97.07514273479875	18.10133508900789	48908	140120
ontStd	BCM	-599512.5138560002	-1146850.7672120016	108.69177632517912	13.389156299488123	48910	140132
ontStd	UW	-468980.68760430336	-863823.0513065347	57.39370736163046	9.901949809160408	48910	140132
